S3n48d2w6-120p5-4-8c4_1679305667

DAYS
2

WINDOWS
1	480	600
2	600	720
3	720	840
4	840	960
5	960	1080
6	1080	1200

FEES
1	5
2	6
3	7
4	8

CLUSTERS
CLUST NO.	LONCOORD.	LATCOORD.

51	-4.87416	43.3423
52	-4.7807	43.3423
57	-4.82743	43.31532
62	-4.7807	43.28834

CUSTOMERS
CUST NO.	LONCOORD.	LATCOORD.	CLUST NO.	BASKET.	SERVICE TIME.	SEGMENT.	PREF LIST.
0	-4.82743	43.31532	0	0	0	0	0
1	-4.8413	43.29002	57	68	12	familyII	[[1, 1, 4], [1, 2, 4], [2, 1, 4], [2, 2, 4], [3, 1, 4], [3, 2, 4], [4, 1, 4], [4, 2, 4], [5, 1, 4], [5, 2, 4], [6, 1, 4], [6, 2, 4], [1, 2, 3], 0, [5, 2, 3], [6, 2, 3], [1, 2, 2], [5, 2, 2], [6, 2, 2], [1, 2, 1], [5, 2, 1], [6, 2, 1], [4, 2, 3], [3, 2, 3], [4, 2, 2], [1, 1, 3], [5, 1, 3], [6, 1, 3], [3, 2, 2], [4, 2, 1], [1, 1, 2], [5, 1, 2], [2, 2, 3], [6, 1, 2], [3, 2, 1], [1, 1, 1], [5, 1, 1], [2, 2, 2], [6, 1, 1], [2, 2, 1], [4, 1, 3], [3, 1, 3], [4, 1, 2], [3, 1, 2], [4, 1, 1], [2, 1, 3], [3, 1, 1], [2, 1, 2], [2, 1, 1]]
2	-4.8331	43.307	57	21	12	pensionerII	[[1, 1, 3], [1, 1, 4], [1, 2, 3], [1, 2, 4], [2, 1, 3], [2, 1, 4], [2, 2, 3], [2, 2, 4], [3, 1, 3], [3, 1, 4], [3, 2, 3], [3, 2, 4], [4, 1, 3], [4, 1, 4], [4, 2, 3], [4, 2, 4], [5, 1, 3], [5, 1, 4], [5, 2, 3], [5, 2, 4], [6, 1, 3], [6, 1, 4], [6, 2, 3], [6, 2, 4], [2, 2, 2], 0, [2, 2, 1], [6, 2, 2], [6, 2, 1], [5, 2, 2], [5, 2, 1], [1, 2, 2], [1, 2, 1], [4, 2, 2], [4, 2, 1], [3, 2, 2], [3, 2, 1], [2, 1, 2], [2, 1, 1], [6, 1, 2], [6, 1, 1], [5, 1, 2], [5, 1, 1], [1, 1, 2], [1, 1, 1], [4, 1, 2], [4, 1, 1], [3, 1, 2], [3, 1, 1]]
3	-4.81303	43.31061	57	61	12	familyII	[[1, 1, 4], [1, 2, 4], [2, 1, 4], [2, 2, 4], [3, 1, 4], [3, 2, 4], [4, 1, 4], [4, 2, 4], [5, 1, 4], [5, 2, 4], [6, 1, 4], [6, 2, 4], [6, 1, 3], 0, [5, 1, 3], [1, 1, 3], [6, 1, 2], [5, 1, 2], [6, 2, 3], [1, 1, 2], [6, 1, 1], [5, 2, 3], [1, 2, 3], [5, 1, 1], [6, 2, 2], [1, 1, 1], [5, 2, 2], [1, 2, 2], [6, 2, 1], [5, 2, 1], [1, 2, 1], [4, 1, 3], [3, 1, 3], [4, 1, 2], [4, 2, 3], [3, 1, 2], [4, 1, 1], [2, 1, 3], [3, 2, 3], [4, 2, 2], [3, 1, 1], [2, 1, 2], [3, 2, 2], [4, 2, 1], [2, 2, 3], [2, 1, 1], [3, 2, 1], [2, 2, 2], [2, 2, 1]]
4	-4.83264	43.31018	57	79	12	familyII	[[1, 1, 4], [1, 2, 4], [2, 1, 4], [2, 2, 4], [3, 1, 4], [3, 2, 4], [4, 1, 4], [4, 2, 4], [5, 1, 4], [5, 2, 4], [6, 1, 4], [6, 2, 4], [5, 1, 3], 0, [6, 1, 3], [5, 1, 2], [6, 1, 2], [1, 1, 3], [5, 1, 1], [6, 1, 1], [1, 1, 2], [1, 1, 1], [3, 1, 3], [5, 2, 3], [6, 2, 3], [4, 1, 3], [2, 1, 3], [3, 1, 2], [5, 2, 2], [6, 2, 2], [4, 1, 2], [2, 1, 2], [1, 2, 3], [3, 1, 1], [5, 2, 1], [6, 2, 1], [4, 1, 1], [2, 1, 1], [1, 2, 2], [1, 2, 1], [3, 2, 3], [4, 2, 3], [2, 2, 3], [3, 2, 2], [4, 2, 2], [2, 2, 2], [3, 2, 1], [4, 2, 1], [2, 2, 1]]
5	-4.80771	43.30504	57	21	12	pensionerI	[[1, 1, 2], [1, 1, 3], [1, 1, 4], [1, 2, 2], [1, 2, 3], [1, 2, 4], [2, 1, 2], [2, 1, 3], [2, 1, 4], [2, 2, 2], [2, 2, 3], [2, 2, 4], [3, 1, 2], [3, 1, 3], [3, 1, 4], [3, 2, 2], [3, 2, 3], [3, 2, 4], [4, 1, 2], [4, 1, 3], [4, 1, 4], [4, 2, 2], [4, 2, 3], [4, 2, 4], [5, 1, 2], [5, 1, 3], [5, 1, 4], [5, 2, 2], [5, 2, 3], [5, 2, 4], [6, 1, 2], [6, 1, 3], [6, 1, 4], [6, 2, 2], [6, 2, 3], [6, 2, 4], [5, 2, 1], 0, [6, 2, 1], [4, 2, 1], [5, 1, 1], [6, 1, 1], [4, 1, 1], [1, 2, 1], [3, 2, 1], [2, 2, 1], [1, 1, 1], [3, 1, 1], [2, 1, 1]]
6	-4.78822	43.31226	62	41	12	familyII	[[1, 1, 4], [1, 2, 4], [2, 1, 4], [2, 2, 4], [3, 1, 4], [3, 2, 4], [4, 1, 4], [4, 2, 4], [5, 1, 4], [5, 2, 4], [6, 1, 4], [6, 2, 4], [6, 2, 3], 0, [1, 2, 3], [6, 2, 2], [5, 2, 3], [1, 2, 2], [6, 2, 1], [5, 2, 2], [6, 1, 3], [1, 2, 1], [1, 1, 3], [5, 2, 1], [6, 1, 2], [5, 1, 3], [1, 1, 2], [6, 1, 1], [5, 1, 2], [1, 1, 1], [4, 2, 3], [5, 1, 1], [2, 2, 3], [4, 2, 2], [2, 2, 2], [3, 2, 3], [4, 2, 1], [4, 1, 3], [2, 2, 1], [3, 2, 2], [2, 1, 3], [4, 1, 2], [3, 2, 1], [2, 1, 2], [3, 1, 3], [4, 1, 1], [2, 1, 1], [3, 1, 2], [3, 1, 1]]
7	-4.86578	43.33006	51	58	12	familyII	[[1, 1, 4], [1, 2, 4], [2, 1, 4], [2, 2, 4], [3, 1, 4], [3, 2, 4], [4, 1, 4], [4, 2, 4], [5, 1, 4], [5, 2, 4], [6, 1, 4], [6, 2, 4], [1, 1, 3], 0, [6, 1, 3], [1, 1, 2], [6, 1, 2], [1, 1, 1], [5, 1, 3], [6, 1, 1], [5, 1, 2], [1, 2, 3], [5, 1, 1], [6, 2, 3], [1, 2, 2], [3, 1, 3], [2, 1, 3], [4, 1, 3], [6, 2, 2], [1, 2, 1], [3, 1, 2], [5, 2, 3], [2, 1, 2], [4, 1, 2], [6, 2, 1], [3, 1, 1], [5, 2, 2], [2, 1, 1], [4, 1, 1], [5, 2, 1], [3, 2, 3], [2, 2, 3], [4, 2, 3], [3, 2, 2], [2, 2, 2], [4, 2, 2], [3, 2, 1], [2, 2, 1], [4, 2, 1]]
8	-4.86527	43.32812	51	22	12	pensionerII	[[1, 1, 3], [1, 1, 4], [1, 2, 3], [1, 2, 4], [2, 1, 3], [2, 1, 4], [2, 2, 3], [2, 2, 4], [3, 1, 3], [3, 1, 4], [3, 2, 3], [3, 2, 4], [4, 1, 3], [4, 1, 4], [4, 2, 3], [4, 2, 4], [5, 1, 3], [5, 1, 4], [5, 2, 3], [5, 2, 4], [6, 1, 3], [6, 1, 4], [6, 2, 3], [6, 2, 4], [6, 1, 2], 0, [5, 1, 2], [2, 1, 2], [6, 1, 1], [5, 1, 1], [2, 1, 1], [4, 1, 2], [4, 1, 1], [3, 1, 2], [3, 1, 1], [1, 1, 2], [1, 1, 1], [6, 2, 2], [5, 2, 2], [2, 2, 2], [6, 2, 1], [5, 2, 1], [2, 2, 1], [4, 2, 2], [4, 2, 1], [3, 2, 2], [3, 2, 1], [1, 2, 2], [1, 2, 1]]
9	-4.81874	43.30784	57	44	12	familyI	[[1, 1, 2], [1, 1, 3], [1, 1, 4], [1, 2, 2], [1, 2, 3], [1, 2, 4], [2, 1, 2], [2, 1, 3], [2, 1, 4], [2, 2, 2], [2, 2, 3], [2, 2, 4], [3, 1, 2], [3, 1, 3], [3, 1, 4], [3, 2, 2], [3, 2, 3], [3, 2, 4], [4, 1, 2], [4, 1, 3], [4, 1, 4], [4, 2, 2], [4, 2, 3], [4, 2, 4], [5, 1, 2], [5, 1, 3], [5, 1, 4], [5, 2, 2], [5, 2, 3], [5, 2, 4], [6, 1, 2], [6, 1, 3], [6, 1, 4], [6, 2, 2], [6, 2, 3], [6, 2, 4], [6, 1, 1], 0, [3, 1, 1], [5, 1, 1], [1, 1, 1], [6, 2, 1], [3, 2, 1], [5, 2, 1], [1, 2, 1], [2, 1, 1], [4, 1, 1], [2, 2, 1], [4, 2, 1]]
